round	score	score_k5	score_k5_raw	score_large_bonus	elapsed_s	timeout
1	0.7722328307442727	0.0	0.0	0.7722328307442727	391.6881151199341	false
2	121.28271102807648	120.01569759049202	0.0012001569759049202	1.267013437584448	718.2428500652313	false
3	131.2875530758581	129.94958510911147	0.0012994958510911148	1.3379679667466542	986.9576480388641	false
4	132.37160202027817	131.0310235275153	0.0013103102352751527	1.3405784927628779	1289.357383966446	false
5	152.06170653479248	150.65305292100706	0.0015065305292100706	1.4086536137854226	1558.2783379554749	false
6	145.79963984963723	144.3797452384682	0.001443797452384682	1.4198946111690525	1914.3611478805542	false
